Authors: Huang Kaixuan, Hu Jinniu, Zhang Yin, Shen Hong 
Date: 2022/07/05

(Please delete the comments before using this input file)
Hadronic EOS:
    baryon density         pressure
     2.0035E-01           6.4738E+00  
     2.0127E-01           6.5609E+00  
     2.0220E-01           6.6492E+00  
     2.0313E-01           6.7388E+00  
     2.0407E-01           6.8297E+00  
     2.0501E-01           6.9219E+00  
     2.0596E-01           7.0153E+00  
     2.0691E-01           7.1102E+00  
     2.0786E-01           7.2064E+00  
     2.0882E-01           7.3039E+00  
     2.0979E-01           7.4029E+00  
     2.1076E-01           7.5032E+00  
     2.1173E-01           7.6050E+00  
     2.1271E-01           7.7083E+00  
     2.1369E-01           7.8130E+00  
     2.1467E-01           7.9192E+00  
     2.1566E-01           8.0269E+00  
     2.1666E-01           8.1361E+00  
     2.1766E-01           8.2469E+00  
     2.1867E-01           8.3592E+00  
     2.1967E-01           8.4732E+00  
     2.2069E-01           8.5888E+00  
     2.2171E-01           8.7059E+00  
     2.2273E-01           8.8248E+00  
     2.2376E-01           8.9453E+00  
     2.2479E-01           9.0676E+00  
     2.2583E-01           9.1915E+00  
     2.2687E-01           9.3172E+00  
     2.2792E-01           9.4447E+00  
     2.2897E-01           9.5739E+00  
     2.3003E-01           9.7050E+00  
     2.3109E-01           9.8379E+00  
     2.3216E-01           9.9727E+00  
     2.3323E-01           1.0109E+01  
     2.3430E-01           1.0248E+01  
     2.3539E-01           1.0388E+01  
     2.3647E-01           1.0531E+01  
     2.3756E-01           1.0675E+01  
     2.3866E-01           1.0822E+01  
     2.3976E-01           1.0970E+01  
     2.4087E-01           1.1121E+01  
     2.4198E-01           1.1273E+01  
     2.4310E-01           1.1428E+01  
     2.4422E-01           1.1585E+01  
     2.4535E-01           1.1744E+01  
     2.4648E-01           1.1905E+01  
     2.4762E-01           1.2069E+01  
     2.4876E-01           1.2234E+01  
     2.4991E-01           1.2402E+01  
     2.5106E-01           1.2573E+01  
     2.5222E-01           1.2745E+01  
     2.5338E-01           1.2920E+01  
     2.5455E-01           1.3098E+01  
     2.5573E-01           1.3277E+01  
     2.5691E-01           1.3460E+01  
     2.5809E-01           1.3644E+01  
     2.5929E-01           1.3831E+01  
     2.6048E-01           1.4021E+01  
     2.6169E-01           1.4213E+01  
     2.6289E-01           1.4408E+01  
     2.6411E-01           1.4606E+01  
     2.6533E-01           1.4806E+01  
     2.6655E-01           1.5009E+01  
     2.6778E-01           1.5214E+01  
     2.6902E-01           1.5423E+01  
     2.7026E-01           1.5634E+01  
     2.7151E-01           1.5848E+01  
     2.7276E-01           1.6064E+01  
     2.7402E-01           1.6284E+01  
     2.7528E-01           1.6506E+01  
     2.7655E-01           1.6732E+01  
     2.7783E-01           1.6960E+01  
     2.7911E-01           1.7192E+01  
     2.8040E-01           1.7426E+01  
